Subcategory,ITEM_DESC,SOURCE,ITEM,Subcategory2
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TBPB SERVICE CHARGE,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TFFF,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TFFF ADMIN,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TGPY,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TLPL,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TUPJ,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TVSA ADMIN,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TVSC,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-TVSC ADMIN,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (AGENT)-& COORDINATION FEES,Services,2AGT,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (AGENT)-OMAN,Services,2AGT,
Admin Fees,VENDOR ADMINISTRATIVE FEE (3RD PARTY),Services,2VAD,
Admin Fees,*ADMINISTRATIVE FEE-TVSC,Services,,
Admin Fees,*BANK CHARGES,Services,2BKCH,
Admin Fees,*BANK CHARGES-CREDIT CARD BANK FEE,Services,2BKCH,
Admin Fees,*BANK CHARGES-EXCHANGE RATE,Services,2BKCH,
Admin Fees,*BANK CHARGES-EXCHANGE RATE - USD / PESOS,Services,2BKCH,
Admin Fees,*BANK CHARGES-OMAN,Services,2BKCH,
Admin Fees,*BANK CHARGES-TRANSFER FEE,Services,2BKCH,
Admin Fees,*BANK CHARGES-WIRE FEE,Services,2BKCH,
Admin Fees,*BANK FEE,Services,7BKFE,
Admin Fees,*BELT LOADER-QTY 4,Services,2BELO,
Admin Fees,*CAA FEE-BENIN,Services,2CAAF,
